Survey Name, ,TGS Revenue ,TGS Cost,SWG Win Rate,SWG Cost,TGS Duration,Day Rate,Activity,Company,Survey Company,Vessel,Client,Country,Complete,Mobilisation Location,Mobilisation Start,Deployment Start,Production Start,Production End,Retrieval End,Demobilisation End
Bengal National Seismic Program (NSP) 2D,2D,,,,,,#DIV/0!,,Shearwater,Shearwater,SW Bly,Oil India Ltd,India,Yes,Kakinada -  INDIA,1/22/2025,2/1/2025,2/4/2025,6/13/2025,6/16/2025,6/25/2025
Block 15 OBN,OBN,,,,,,,Node Handling,Shearwater,Shearwater,SW Tasman,Esso Exploration Angola Block 15 Limited (ExxonMobil),Angola,Yes,Off Luanda -  ANGOLA,8/23/2025,8/24/2025,8/25/2025,10/16/2025,10/16/2025,10/23/2025
Block 15 OBN,OBN,,,,,,,Source,Shearwater,Shearwater,SW Gallien,Esso Exploration Angola Block 15 Limited (ExxonMobil),Angola,Yes,Off Luanda -  ANGOLA,8/22/2025,8/24/2025,9/1/2025,10/5/2025,10/5/2025,10/23/2025
Block 20 Kaminho OBN,OBN,,,,,,,Node Layout,Shearwater,Shearwater,SW Tasman,TotalEnergies,Angola,Yes,At Sea -  ANGOLA,4/19/2025,4/19/2025,4/21/2025,7/11/2025,7/11/2025,7/21/2025
Block 20 Kaminho OBN,OBN,,,,,,,Source,Shearwater,Shearwater,SW Gallien,TotalEnergies,Angola,Yes,At Sea -  ANGOLA,4/18/2025,4/18/2025,4/25/2025,7/9/2025,7/10/2025,7/21/2025
Block 32 Louro / Mostarda 4D OBN,OBN," $36,289,713 "," $31,144,218 ",,,83," $437,225 ",Source,Shearwater,Shearwater,SW Gallien,TotalEnergies,Angola,Yes,Luanda -  ANGOLA,1/8/2025,1/24/2025,2/6/2025,4/17/2025,4/17/2025,4/18/2025
Block 32 Louro / Mostarda 4D OBN,OBN,,,,,,,Node Layout,Shearwater,Shearwater,SW Tasman,TotalEnergies,Angola,Yes,Luanda -  ANGOLA,1/20/2025,1/25/2025,1/27/2025,4/18/2025,4/18/2025,4/19/2025
Block 63 / Block 52 Ironman 3D,3D," $37,410,742 "," $28,461,848 ",,,,#DIV/0!,,Shearwater,Shearwater,Amazon Warrior,Petronas,Suriname,Yes,Off Paramaribo -  SURINAME,11/16/2024,12/15/2024,12/20/2024,4/7/2025,4/11/2025,4/20/2025
BP-OSHP-2022/1 3D,3D,,,,,,#DIV/0!,,Shearwater,Shearwater,Oceanic Sirius,ONGC,India,Yes,Off Kakinada -  INDIA,2/1/2025,2/4/2025,2/11/2025,4/13/2025,4/17/2025,4/21/2025
CI-40 Kossipo OBN,OBN," $9,333,333 ",,,,,,Node Layout / Source,Shearwater,Shearwater,SW Tasman,Canadian Natural Resources International,C̫te d'Ivoire,Yes,Abidjan -  COTE D'IVOIRE,12/17/2024,12/17/2024,12/18/2024,1/11/2025,1/11/2025,1/11/2025
EQ25005 Tyrihans 4D,4D,,,,,,#DIV/0!,,Shearwater,Shearwater,Amazon Conqueror,Equinor Energy AS,Norway,Yes,Lerwick -  UNITED KINGDOM,7/22/2025,7/26/2025,7/31/2025,8/26/2025,8/28/2025,8/31/2025
EQ25005 Tyrihans Phase II 4D,4D,," $30,469,160 "," $27,422,244.0 ",,,#DIV/0!,,Shearwater,Shearwater,Amazon Conqueror,Equinor Energy AS,Norway,Yes,Farsund -  NORWAY,8/31/2025,9/2/2025,9/3/2025,9/4/2025,9/5/2025,9/7/2025
Jubarte / Baleia Ana Undershoot,Undershoot,,,,,,#DIV/0!,,Shearwater,Shearwater,Oceanic Vega,Petrobras,Brazil,Yes,Niteroi -  BRAZIL,3/30/2025,4/5/2025,4/8/2025,6/3/2025,6/3/2025,6/6/2025
Jubarte / Baleia Ana 4D,4D,,,,,,#DIV/0!,,Shearwater,Shearwater,Oceanic Vega,Petrobras,Brazil,Yes,Rio de Janeiro -  BRAZIL,12/16/2024,12/23/2024,12/31/2024,3/1/2025,3/4/2025,3/11/2025
